p_raw,p_cal,weight
0.003,0.015,1
0.003,0.016,1
0.004,0.019,2
0.004,0.02,4
0.004,0.021,2
0.005,0.022,14
0.005,0.023,10
0.005,0.024,2
0.006,0.025,2
0.006,0.026,6
0.007,0.026,3
0.007,0.027,6
0.007,0.028,9
0.008,0.029,6
0.008,0.03,5
0.008,0.031,2
0.009,0.031,4
0.009,0.032,11
0.01,0.033,5
0.01,0.034,9
0.011,0.035,2
0.011,0.036,4
0.012,0.037,3
0.012,0.038,4
0.013,0.038,2
0.013,0.039,9
0.013,0.04,9
0.014,0.04,5
0.014,0.041,10
0.014,0.042,3
0.015,0.042,10
0.015,0.043,16
0.016,0.043,1
0.016,0.044,25
0.016,0.045,10
0.017,0.045,27
0.017,0.046,37
0.017,0.047,4
0.018,0.047,33
0.018,0.048,14
0.019,0.048,7
0.019,0.049,28
0.02,0.05,31
0.02,0.051,25
0.021,0.051,15
0.021,0.052,47
0.022,0.052,11
0.022,0.053,67
0.022,0.054,27
0.023,0.054,40
0.023,0.055,53
0.024,0.055,29
0.024,0.056,73
0.025,0.056,1
0.025,0.057,65
0.025,0.058,24
0.026,0.058,64
0.026,0.059,67
0.027,0.059,32
0.027,0.06,88
0.028,0.06,20
0.028,0.061,124
0.028,0.062,6
0.029,0.062,129
0.029,0.063,26
0.03,0.063,69
0.03,0.064,79
0.031,0.064,53
0.031,0.065,72
0.032,0.065,29
0.032,0.066,105
0.033,0.066,10
0.033,0.067,142
0.033,0.068,3
0.034,0.068,142
0.034,0.069,12
0.035,0.069,137
0.035,0.07,47
0.036,0.07,92
0.036,0.071,63
0.037,0.071,110
0.037,0.072,83
0.038,0.072,106
0.038,0.073,133
0.039,0.073,56
0.039,0.074,140
0.04,0.074,54
0.04,0.075,145
0.041,0.075,64
0.041,0.076,139
0.042,0.076,23
0.042,0.077,140
0.043,0.077,31
0.043,0.078,179
0.044,0.078,17
0.044,0.079,183
0.045,0.079,6
0.045,0.08,190
0.046,0.08,11
0.046,0.081,183
0.047,0.081,13
0.047,0.082,194
0.048,0.082,16
0.048,0.083,187
0.049,0.083,14
0.049,0.084,204
0.05,0.084,13
0.05,0.085,188
0.051,0.085,25
0.051,0.086,120
0.052,0.086,26
0.052,0.087,118
0.053,0.087,47
